rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
9.34364 0.905657 1.81968 2.706 3.24303 3.59111 4.10829 4.83188 5.48531 5.96616 6.74346 7.34437 7.44472 809.56 -384.72 -1227.82 -815.114 9.67704 1757.92 2647.58 -1469.75 -4343.04 3947.71 1808.81 -2729.23
9.36287 0.785696 1.73604 2.09763 2.9751 3.96956 4.54613 4.66348 5.44914 6.2798 6.7311 6.96305 7.36159 888.225 -259.11 -742.397 -1245.06 610.808 1676.69 1634.57 -2468.12 -3777.83 2160.14 4126.46 -2592.82
9.69158 0.900084 1.85587 2.15525 2.99373 3.09511 3.76648 4.4802 5.26563 5.40479 5.53597 6.30912 7.2753 1608.63 -724.874 -1380.12 -1407.61 -1127.48 2310.86 5523.34 -1126.63 -3185.32 -4856.61 5385.99 -1008.58
9.28299 0.444323 0.918766 1.8713 2.53184 2.67092 3.27391 3.96258 4.8011 5.29805 5.91854 6.8867 7.66295 475.672 245.604 -382.084 -665.181 -661.31 -212.462 1169.65 1970.15 -72.9012 -3970.24 3014.16 -899.505
9.0592 0.520332 1.33157 2.23801 2.84099 3.74042 4.67294 5.13753 5.5869 6.43645 7.27895 7.45679 7.65139 448.925 27.832 -555.525 -683.974 216.613 1538.47 740.753 -1417.47 -2115.75 3082.02 1571.92 -2842.31
7.93804 0.518793 1.48977 2.1931 2.93129 3.78349 4.5558 5.34287 6.18167 6.99442 7.70826 8.52825 8.9647 98.92 17.6361 -73.3413 -156.81 -107.884 166.599 394.292 -144.409 -537.909 105.899 736.497 -488.155
9.76793 0.938791 1.6174 1.92658 2.61704 2.8746 3.06877 3.09429 3.58112 4.45151 5.33479 6.23768 7.20703 1875.36 -243.827 -1163.63 -1921.2 -1367.99 -563.455 -432.761 2959.9 6646.9 -10178.2 5435.64 -1035.07
8.56452 0.801345 1.71094 2.6335 3.3435 4.32753 5.12725 6.04673 6.51381 6.5964 7.57179 7.98341 8.2476 231.089 -20.9721 -327.813 -360.813 319.452 947.577 -209.081 -760.161 -751.016 1144.08 852.149 -1053.05
9.74789 0.951036 1.472 2.30212 2.8642 3.23465 3.71944 3.9202 4.06277 4.92866 5.58103 6.37032 7.0541 1487.86 73.0647 -2081.54 -2232.23 -1229.73 1298.93 2465.88 3189.34 609.129 -8588.57 7011.17 -1991.67
9.51726 0.480381 0.995429 1.94151 2.45683 3.20194 3.61932 4.17417 4.91967 5.13955 5.83144 6.75439 7.23292 784.689 289.616 -886.971 -1291.36 -646.771 542.387 2360.69 1449.26 -219.2 -5622.28 5764.88 -2513.34
